,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Sedv[L],Season
7076,29202393183.660385,0.0,35319.08659447594,1083480.285781588,847381567.9749376,162789.45317296122,2785077436778.907,1921064.6519988673,2199080.782475821,11577.840300475496,3727931356.7371697,10214.300238816126,15070476190.476156,4899889631336.406,1109677419.3548386,84890322580.64516,2000-05-17,1664516129.032272,spring
7077,28371414011.77323,0.0,35605.259448808734,1214745.7418321725,830133866.2603017,333834.8555338274,2785078611940.8076,1921087.9639823672,2203667.327949617,11671.649736824695,3727638563.8626366,10213.510566403205,14304270353.30262,4895847235023.042,1109677419.3548386,84890322580.64516,2000-05-18,1664516129.032272,spring
7078,27570775601.450726,0.0,35324.10082626555,1177295.2072445597,800143036.4190454,646597.2029580786,2785079441400.5205,1921088.7745843823,2208270.9994263183,11579.484000256192,3727341168.9294004,10212.70839414421,13538064516.12903,4891804838709.677,1109677419.3548386,84890322580.64516,2000-05-19,1664516129.032272,spring
7079,26864119762.176617,0.0,32086.873774284813,995961.1676271845,706304417.2333597,612452.2531021583,2785080127230.272,1921089.3467282844,2212891.8846502705,10518.29863454874,3727039154.497865,10211.893613505208,13760000000.0,4897464193548.39,1109677419.3548386,84890322580.64516,2000-05-20,1664516129.032272,spring
7080,26291367984.481663,0.0,26664.40875050045,940054.2810833614,571900012.5615994,61624.73897991435,2785081299985.1875,1921089.8197992528,2206674.4155938253,8740.777182730999,3726743358.835894,10211.066176706481,13981935483.870966,4903123548387.094,1109677419.3548386,84890322580.64516,2000-05-21,1664516129.032272,spring
7081,25798135776.696804,0.0,23477.303699431217,991425.7655919862,492807075.6325874,542816.309619118,2785082035672.0903,1921113.106199361,2200494.530593954,7696.022154782749,3726453767.1557217,10210.255777632588,14203870967.741936,4908782903225.807,1109677419.3548386,84890322580.64516,2000-05-22,1664516129.032272,spring
7082,25280923367.50986,0.0,25069.184137136483,943653.4670681639,516349852.6514078,56027.74739650967,2785083204753.9624,1921113.6136666837,2194351.9143323023,8217.851546828386,3726170319.39268,10209.462375769102,14277849462.365625,4914442258064.519,1109677419.3548386,84890322580.64516,2000-05-23,1664516129.032272,spring
7083,24802431602.472935,0.0,23662.25327328516,977465.7233193497,477600270.14206266,62308.57518536141,2785084394786.5454,1921114.4200842583,2188233.2051170887,7756.649901312776,3725892991.9218407,10208.68580655529,14425806451.612904,4920101612903.223,1109677419.3548386,84890322580.64516,2000-05-24,1664516129.032272,spring
7084,24349537784.553963,0.0,22824.502731904846,1038471.6849030828,451971570.56923467,93399.83243148876,2785085608389.3584,1921115.240953362,2182164.17199494,7482.029493058639,3725621735.0647936,10207.926005265317,14647741935.48387,4925760967741.936,1109677419.3548386,84890322580.64516,2000-05-25,1664516129.032272,spring
7085,23893138654.924934,0.0,23429.48970796582,1111563.8973185886,455479761.33285046,168766.1114351338,2785086813860.3677,1921138.5558370533,2176131.4301070147,7680.348398446103,3725356535.007688,10207.182835793956,14869677419.354837,4931420322580.648,1109677419.3548386,84890322580.64516,2000-05-26,1664516129.032272,spring
7086,41621956437.10193,18203181789.937046,24836.956940209548,978080.4124405512,473791342.54968333,380578.24512603617,2766884486709.6157,1921139.387365114,2170134.678529779,8141.725869221886,3725097333.2602634,10206.456260295037,23747096774.193604,4883727311827.954,1664516129.032258,84335483870.96774,2000-05-27,1664516129.032272,spring
7087,41049235945.1247,0.0,25778.096552622897,1677395.0479137348,571080867.1247605,11992.098897227848,2766886418765.704,1908349.049315363,2166551.951243405,8450.237928383614,3724828924.612217,10205.74611852127,22970322580.64516,4910433548387.097,1664516129.032258,84335483870.96774,2000-05-28,1664516129.032272,spring
7088,76968680142.3801,36406400246.91716,22237.84980271155,1613233.8517462169,485872304.73173124,507251.0719134681,2730481388792.018,1908350.3818745709,2165351.112496493,7289.720614746127,3724561718.870843,10205.01075236224,40503225806.451614,4830564516129.035,2774193548.387097,83225806451.6129,2000-05-29,1664516129.032272,spring
7089,76352976194.00972,0.0,24960.874292442822,2429681.4563864246,613549147.133988,249919.3456958297,2730483858076.7886,1882811.830165691,2164152.14282451,8182.346832359676,3724270174.2795024,10204.278681837926,40780645161.29032,4836112903225.804,2774193548.387097,83225806451.6129,2000-05-30,1664516129.032272,spring
7090,75711724200.64366,0.0,29349.850791495937,2333205.6139645,639531130.1437855,582992.5409133518,2730485898024.745,1882813.5328685904,2162927.333050054,9621.083614316112,3723979856.999391,10203.479929532885,42722580645.16129,4820854838709.677,2774193548.387097,83225806451.6129,2000-05-31,1664516129.032272,spring
7091,75082355019.31181,0.0,32153.60065584006,2139092.959299166,627931326.660946,669084.6877413675,2730487657453.515,1882836.96913988,2161717.2951630685,10540.172166762799,3723690773.988828,10202.68453972436,45866666666.666725,4791032258064.519,2774193548.387097,83225806451.6129,2000-06-01,1664516129.032272,spring
