,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,PLoad,Season
5172,1613544761025.1558,0.0,150009461189.13095,914404927.4304347,954185980700.3619,0.0,2235245296494.9663,263383001.56916663,342590312.5872401,150009461189.13095,5.026152054907695e+16,13770283146.345886,1040499656829.0996,4306138641043.24,36064516129.03226,49935483870.96774,1995-03-01,307949710071.5491,winter
5173,1613182705894.0571,0.0,153974855035.77454,910115112.2796249,987619083636.5028,0.0,2234782563407.019,263361775.4591454,342513727.80571514,153974855035.77454,5.026150760976051e+16,13770279602.486835,1045870967741.9354,4323987920384.35,36064516129.03226,49935483870.96774,1995-03-02,286782384249.59235,winter
5174,1612887062203.668,0.0,143391192124.79617,912535703.848125,927517682460.3624,0.0,2234303649309.028,263327813.142625,342431113.50361097,143391192124.79617,5.026149467291686e+16,13770276057.468634,1038658064516.129,4301888812628.6895,36064516129.03226,49935483870.96774,1995-03-03,284597588143.61804,winter
5175,1612561605287.0068,0.0,142298794071.80902,912659926.7803084,928341594027.8864,0.0,2233853906032.1235,263306364.06486636,342368961.7182249,142298794071.80902,5.026148173624169e+16,13770272513.127909,1130522827728.209,3140145092656.143,36064516129.03226,49935483870.96774,1995-03-04,232992018400.5274,winter
5176,1612371648559.6672,0.0,116496009200.2637,911230439.1830509,766565797287.294,0.0,2233403776551.601,263306554.23346743,342141913.0867572,116496009200.2637,5.02614687983678e+16,13770268968.833342,1137919890185.3118,3122986410432.3955,36064516129.03226,49935483870.96774,1995-03-05,163653450655.9731,winter
5177,1612289782474.424,0.0,81826725327.98656,910572763.6346633,543163198713.26166,0.0,2233032097248.9995,263291811.5595181,342134920.9836943,81826725327.98656,5.0261455859832024e+16,13770265424.210358,1146759533287.5757,3098337405628.003,36064516129.03226,49935483870.96774,1995-03-06,225656650825.38904,winter
5178,1611922220925.8298,0.0,112828325412.69452,908825018.1183223,755623622574.0781,0.0,2232768763847.44,263284029.9446762,342036381.18400055,112828325412.69452,5.026144291964281e+16,13770261879.406034,1258743692518.876,2905905175017.1587,36064516129.03226,49935483870.96774,1995-03-07,272198808995.982,winter
5179,1611520860072.869,0.0,136099404497.991,905791331.4625049,919521094272.2153,0.0,2232402449371.964,263268417.18108806,342016207.12100834,136099404497.991,5.026142997642801e+16,13770258334.148716,1174536884008.2363,3049039396019.2173,36064516129.03226,49935483870.96774,1995-03-08,269381052573.17004,winter
5180,1611200167469.9517,0.0,134690526286.58502,903297393.5840406,918103595296.447,0.0,2231956702014.209,263234200.5295786,342115071.97848934,134690526286.58502,5.0261417030589736e+16,13770254788.06247,1252981043239.533,2925518133150.3086,36064516129.03226,49935483870.96774,1995-03-09,264254975859.2839,winter
5181,1610886598472.6145,0.0,132127487929.64195,901698246.1762369,908767075487.3787,0.0,2231511671145.3867,263190846.00609425,342165112.9235756,132127487929.64195,5.026140408306248e+16,13770251241.257462,1038658064516.129,4277027316403.567,36064516129.03226,49935483870.96774,1995-03-10,239784092391.9973,winter
5182,1610632492586.512,0.0,119892046195.99866,899493279.7462627,832132490013.0552,0.0,2231071188124.625,263130366.41187716,342262032.10176516,119892046195.99866,5.02613911331764e+16,13770247693.989721,1045870967741.9354,4284889498970.489,36064516129.03226,49935483870.96774,1995-03-11,160484143161.64465,winter
5183,1610566649578.689,0.0,80242071580.82233,901600297.8156673,562079223681.1538,0.0,2230667859189.6924,263070722.9747924,342354927.8344162,80242071580.82233,5.0261378185248344e+16,13770244146.075727,1044029375428.9648,4278514756348.663,36064516129.03226,49935483870.96774,1995-03-12,122665459461.87231,winter
5184,1610477088730.2249,0.0,61332729730.93616,901873624.3231438,433672716029.59247,0.0,2230395428132.28,263023680.12567624,342521251.076159,61332729730.93616,5.02613652373838e+16,13770240598.698177,1045870967741.9354,4271077556623.197,36064516129.03226,49935483870.96774,1995-03-13,183981204635.75424,winter
5185,1610139209239.2998,0.0,91990602317.87712,902557171.2811679,656623211674.5034,0.0,2230185255031.3564,263000354.90616843,342685639.847593,91990602317.87712,5.026135229001863e+16,13770237051.338028,1039425394646.5344,4258540562800.2754,36064516129.03226,49935483870.96774,1995-03-14,224079289644.49377,winter
5186,1609786882091.0945,0.0,112039644822.24689,903031788.6110396,803423683806.2664,0.0,2229867041360.402,262980933.10869268,342833808.4905609,112039644822.24689,5.026133934296405e+16,13770233504.114695,1037890734385.7236,4254476664378.861,36064516129.03226,49935483870.96774,1995-03-15,236348274112.6316,winter
5187,1609465727165.493,0.0,118174137056.3158,903481019.153007,851343664769.2877,0.0,2229477698493.042,262937384.34942746,342945325.076782,118174137056.3158,5.026132639620716e+16,13770229956.976452,1038658064516.129,4122687714481.814,36064516129.03226,49935483870.96774,1995-03-16,231581383145.7993,winter
5188,1609178874130.3704,0.0,115790691572.89964,906397666.2338382,838078622796.2975,0.0,2229065150572.4287,262883296.7600471,343046693.93054795,115790691572.89964,5.0261313452215016e+16,13770226409.919771,1042264516129.0322,4240664722031.57,36064516129.03226,49935483870.96774,1995-03-17,213970025959.2616,winter
5189,1608935738798.2156,0.0,106985012979.6308,907440050.0591595,778004736435.3267,0.0,2228659042860.135,262823265.47439736,343154243.803565,106985012979.6308,5.0261300509101224e+16,13770222863.620552,1045870967741.9354,4241116266300.616,36064516129.03226,49935483870.96774,1995-03-18,187310944416.69864,winter
5190,1608741676772.2632,0.0,93655472208.34932,907973496.4018159,684320979270.1611,0.0,2228282056665.9966,262763096.55236202,343227124.05932724,93655472208.34932,5.026128756639137e+16,13770219317.561981,1055462594371.9968,3902362443376.803,36064516129.03226,49935483870.96774,1995-03-19,185126232187.0104,winter
5191,1608506166528.329,0.0,92563116093.5052,908195988.4903784,679599352013.5913,0.0,2227950480620.9585,262715675.7483159,343424697.92271984,92563116093.5052,5.026127462366257e+16,13770215771.614075,1063442827728.209,3804361400137.268,36064516129.03226,49935483870.96774,1995-03-20,256430315058.49457,winter
5192,1608046192257.4983,0.0,128215157529.24728,906989130.9355936,945893256959.306,0.0,2227621223118.749,262690196.71054968,343620364.83614784,128215157529.24728,5.0261261679509304e+16,13770212225.660978,1077914673987.647,3642442937542.8975,36064516129.03226,49935483870.96774,1995-03-21,259244777401.9583,spring
5193,1607702843954.2822,0.0,129622388700.97916,905895864.8502299,960790108851.0642,0.0,2227162960512.171,262663867.93675387,343726146.3537251,129622388700.97916,5.026124873413421e+16,13770208679.31762,1045870967741.9354,4204142759094.0273,36064516129.03226,49935483870.96774,1995-03-22,231887272853.6502,spring
5194,1607447864421.8494,0.0,115943636426.8251,905568780.7036766,863539689836.123,0.0,2226697502488.075,262610737.76815,343803337.83075225,115943636426.8251,5.0261235788305256e+16,13770205132.63951,1962446808510.6392,2717234042553.193,36064516129.03226,49935483870.96774,1995-03-23,214086227682.8552,spring
5195,1607197829090.65,0.0,107043113841.4276,905531155.0159622,801149236949.4857,0.0,2226279179643.4927,262556973.88246503,343864198.7414223,107043113841.4276,5.02612228423276e+16,13770201585.837059,1045870967741.9354,4202867810569.664,36064516129.03226,49935483870.96774,1995-03-24,201995333734.04315,spring
5196,1606952224694.8755,0.0,100997666867.02158,905899401.822936,759617695427.5891,0.0,2225891098074.358,262507677.53830758,343968081.48240834,100997666867.02158,5.026120989656856e+16,13770198038.993864,1042955113246.3962,4216467261496.224,36064516129.03226,49935483870.96774,1995-03-25,158604655587.91516,spring
5197,1606820167144.7583,0.0,79302327793.95758,906748652.1198334,599390460544.0637,0.0,2225523141098.769,262473497.16343182,344092497.963778,79302327793.95758,5.026119695150372e+16,13770194492.210564,1040653122855.183,4210092518874.3975,36064516129.03226,49935483870.96774,1995-03-26,130894468175.24734,spring
5198,1606695775578.0269,0.0,65447234087.62367,907702421.1979406,497155721316.4621,0.0,2225232803630.6914,262442529.55382413,344212886.7810575,65447234087.62367,5.026118400724484e+16,13770190945.617458,1042111050102.9508,4193730679478.383,36064516129.03226,49935483870.96774,1995-03-27,195066568528.02536,spring
5199,1606315437792.091,0.0,97533284264.01268,908854277.9055808,744632819253.1155,0.0,2224992009393.8413,262419007.50345597,344327194.43653077,97533284264.01268,5.026117106400354e+16,13770187399.245161,1038658064516.129,4159519560741.248,36064516129.03226,49935483870.96774,1995-03-28,234617473332.5196,spring
5200,1605932989841.0798,0.0,117308736666.2598,911326934.0781989,890894688954.4545,0.0,2224631362147.968,262402727.68147004,344437464.75628,117308736666.2598,5.026115812311188e+16,13770183853.151655,1037890734385.7234,4176731365820.1753,36064516129.03226,49935483870.96774,1995-03-29,238096986771.66544,spring
5201,1605614326505.0222,0.0,119048493385.83272,914942983.9842325,899374336478.3799,0.0,2224199888495.977,262362484.71478167,344502685.5911592,119048493385.83272,5.026114518573436e+16,13770180307.701885,1038658064516.129,4144645161290.3223,36064516129.03226,49935483870.96774,1995-03-30,222649548082.57053,spring
5202,1605352071117.1338,0.0,111324774041.28526,919158689.1079006,836675338915.3386,0.0,2223764320999.013,262315908.62514564,344494126.79936576,111324774041.28526,5.026113225253807e+16,13770176763.214895,1014615053763.4396,4191251612903.2246,36064516129.03226,49935483870.96774,1995-03-31,222344855567.9896,spring
5203,1605063985447.944,0.0,111172427783.9948,921153395.7869956,831256786939.6196,0.0,2223359137012.82,262258912.93689755,347806975.2502073,111172427783.9948,5.0261119317970184e+16,13770173219.873444,1995569892473.117,2763096774193.547,36064516129.03226,49935483870.96774,1995-04-01,151530528222.5307,spring
5204,1604996480682.923,0.0,75765264111.26535,922586152.9082298,563617397549.2485,0.0,2222956579326.884,262205367.6556047,351165067.05602,75765264111.26535,5.026110638142696e+16,13770169676.156216,1002593548387.0968,4214554838709.6777,36064516129.03226,49935483870.96774,1995-04-02,120175613594.7598,spring
