,sol[W/m2],St,EpiV,HypV,HypTemp,u2*[m/s],EpiTemp,PEPItrue,EpiPpred,HypPpred,PLoad
78,142.45833333333334,26.21327175200386,36064516129032.26,49935483870967.74,5.8869,0.0018842958741026,5.887700000000001,2940460215053762.0,3786248000734816.0,5244707623134740.0,249999780096.08893
79,192.125,62.787707203266805,36064516129032.26,49935483870967.74,5.88675,0.0063852214311555,5.88755,2762541935483870.5,3785766168031231.0,5243905253965756.0,179879991734.42905
80,69.375,133.7075020419596,36064516129032.26,49935483870967.74,5.8869,0.097253808242527,5.8875,2959694623655915.5,3785574570946937.0,5243124528680414.0,127759658982.95496
81,94.33333333333331,114.8632349803757,36064516129032.26,49935483870967.74,5.887,0.1495714363985938,5.8874,2981333333333334.5,3785436978040949.0,5242533894435810.0,168810854989.10526
82,156.79166666666666,130.202268015889,36064516129032.26,49935483870967.74,5.88705,0.1091815387113723,5.8874,2986141935483870.5,3784823979008717.0,5242131578650314.0,238035431530.2928
83,202.16666666666663,191.5749033934888,36064516129032.26,49935483870967.74,5.8871,0.003565544152624,5.88995,2769754838709677.0,3783864931153413.0,5241576653476541.0,280556148448.27234
84,104.58333333333331,295.1673133409552,36064516129032.26,49935483870967.74,5.8872,0.0559654867348037,5.89185,2762541935483870.5,3782830653172312.0,5240718832909552.0,342741390526.5535
85,226.125,326.80052404211006,36064516129032.26,49935483870967.74,5.8872,0.0070739608345052,5.8934,2675987096774193.0,3781440567955932.0,5239651287877467.0,306835767882.47736
86,158.95833333333334,431.5173063513632,36064516129032.26,49935483870967.74,5.8872,0.0006093323989525,5.89475,2995759139784948.0,3780538766579863.0,5238206324192838.0,218583659289.46048
87,156.08333333333334,515.2422841829122,36064516129032.26,49935483870967.74,5.8872,0.0088089142228815,5.8957,2976524731182794.5,3780155621098343.0,5236799560470797.0,168043677119.60507
88,67.70833333333333,601.8797427893403,6103225806451.613,79896774193548.39,5.8873,0.0160357505147973,6.63095,500464516129032.3,638155851787630.9,8377321635041798.0,216731235801.2089
89,26.041666666666668,567.9095237790252,6103225806451.613,79896774193548.39,5.8873,0.0001594987410593,6.59475,482968602150537.6,636307254487147.2,8377118960953888.0,293456206570.88025
90,55.208333333333336,535.3986344764015,36064516129032.26,49935483870967.74,5.8873,0.0008302896415844,5.899,2916417204301076.5,3774771286356806.5,5235991943051867.0,412955111616.0725
91,75.125,539.2526264030602,36064516129032.26,49935483870967.74,5.8873,0.0103196951513243,5.900449999999999,2895980645161290.0,3774874650566864.0,5232262117125552.0,377355994368.9051
92,181.75,566.5695294536309,36064516129032.26,49935483870967.74,5.8873,0.0004823830196439,5.901999999999999,2873139784946238.0,3773803057101579.0,5230138630435585.0,346330467137.0076
93,184.70833333333331,651.2888122005019,2219354838709.677,83780645161290.33,5.8874,0.0011228455481154,6.89,173257634408602.22,229232034054840.97,8771881894147296.0,300161008861.3367
