,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Season,PLoad
8161,220757742974109.03,0.0,70493814061.83731,1107529154.317041,716648293217.2496,62729152.57896229,2962956597544802.5,4942007.334721678,154918423.18968126,0.0,5.021991148598358e+16,13758883669.820185,115263778801843.4,4340106912442394.5,6103225806451.613,79896774193548.39,2003-05-07,spring,72950417425.34735
8162,220051199070902.03,0.0,72950417425.34735,1125659608.8575876,778370707103.3029,2046079.8140621674,2962957871050826.5,4942009.327527176,154834504.63455254,0.0,5.021989757721123e+16,13758879859.173586,114391889400921.42,4357227649769586.5,6103225806451.613,79896774193548.39,2003-05-08,spring,78264235798.76822
8163,39208378368297.01,-180041890148919.84,78264235798.76822,1146882077.3472261,878636818659.1493,588911252.5318477,3143000470053406.0,4942011.451648283,155824845.77144107,0.0,5.0219883667452344e+16,13758876048.551022,20640000000000.0,4647745161290322.0,1109677419354.8386,84890322580645.16,2003-05-09,spring,80681251910.89793
8164,38249227672076.74,0.0,0.0,19317902307.597565,939859211246.8087,26417334.143800393,3143100593861645.0,4934083.34982857,156005438.18412647,80681251910.89793,5.0219869757508744e+16,13758872237.658178,20354654377880.188,4659872350230410.0,1109677419354.8386,84890322580645.16,2003-05-10,spring,61099416463.0825
8165,37491047992946.875,0.0,0.0,20642110567.54948,737731455893.2107,193887330.89129695,3143182291726081.5,4934240.530592575,155158977.4055128,61099416463.0825,5.021985584841558e+16,13758868426.714725,19958341013824.9,4671999539170508.0,1109677419354.8386,84890322580645.16,2003-05-11,spring,46806096615.12196
8166,36879125236081.58,0.0,0.0,21109428908.892498,590874724474.623,61396518.215483926,3143250296914504.5,4934368.785130388,155993786.1652232,46806096615.12196,5.021984193849155e+16,13758864616.00427,19562027649769.61,4684126728110597.0,1109677419354.8386,84890322580645.16,2003-05-12,spring,58064959655.35592
8167,36083333987490.914,0.0,0.0,23276357648.121628,772550008882.7188,35117940.17926964,3143331755179408.0,4934475.544028803,157000015.7016857,58064959655.35592,5.02198280275652e+16,13758860805.06618,19165714285714.258,4696253917050693.0,1109677419354.8386,84890322580645.16,2003-05-13,spring,67382988472.09541
8168,35181420575948.652,0.0,0.0,25122392261.822807,877180136300.9742,389117020.5288231,3143424022757910.0,4934603.422427931,156249392.09958723,67382988472.09541,5.0219814117393416e+16,13758856993.85348,18769400921658.97,4708381105990782.0,1109677419354.8386,84890322580645.16,2003-05-14,spring,61807663192.46408
8169,34376852334619.21,0.0,0.0,20404731996.07538,784490263782.7916,326754449.4265353,3143506058864183.5,4934748.269979546,155400283.24982062,61807663192.46408,5.02198002080747e+16,13758853182.847511,17200000000000.0,4762953456221201.0,1109677419354.8386,84890322580645.16,2003-05-15,spring,51982304306.39283
8170,54261770451138.19,20545791234406.43,0.0,18491869059.41123,644693806516.418,2312557688.375696,3123028578870930.0,4934877.055511049,154560352.71416146,51982304306.39283,5.021978629959986e+16,13758849372.075262,26965161290322.58,4701703225806452.0,1664516129032.258,84335483870967.75,2003-05-16,spring,45200638081.30095
8171,53662357617335.71,0.0,0.0,9691154680.330524,589900994687.7504,179315565.60158503,3123083440142623.0,4934956.130087268,153729452.47520563,45200638081.30095,5.02197723919598e+16,13758845561.534208,26837121588089.293,4688728535980149.0,1664516129032.258,84335483870967.75,2003-05-17,spring,38087711884.31988
8172,53161334423651.24,0.0,0.0,10038773818.124157,491581166103.59045,596746237.2497399,3123131118432105.5,4935042.8209266905,153485060.0865575,38087711884.31988,5.0219758484568024e+16,13758841751.221863,27221240694789.16,4717921588089331.0,1664516129032.258,84335483870967.75,2003-05-18,spring,31745960124.8556
8173,52747134530446.05,0.0,0.0,9263880480.047869,405905506755.4353,969494030.2878907,3123171307084093.5,4935118.161340975,153240531.37287018,31745960124.8556,5.021974457742467e+16,13758837940.977541,26529826302729.46,4670888337468979.0,1664516129032.258,84335483870967.75,2003-05-19,spring,42476425421.44211
8174,93293913614106.75,41094359303738.06,0.0,9342854490.591442,538874256393.2733,636890806.4968961,3082128278231967.5,4935181.666758706,152997688.10529667,42476425421.44211,5.021973067052804e+16,13758834130.801281,46008933002481.44,4630235732009927.0,2774193548387.0967,83225806451612.9,2003-05-20,spring,65775553010.47917
8175,55085053673124.41,-37317565445642.695,0.0,5900701716.943763,885543038609.6364,149244986.92949128,3119517518507728.5,4935234.987806683,152755613.16377294,65775553010.47917,5.0219716763877336e+16,13758830320.692616,27349280397022.28,4685484863523572.0,1664516129032.258,84335483870967.75,2003-05-21,spring,57082186368.8646
8176,95365689065084.12,41046283138259.58,0.0,9400266586.80442,756266702098.2047,19222385.137921803,3078537847210074.0,4929408.012795061,153539442.04087928,57082186368.8646,5.021970285644079e+16,13758826510.651325,45155334987593.11,4620632754342435.0,2774193548387.0967,83225806451612.9,2003-05-22,spring,51710213958.66977
8177,94648141901143.1,0.0,0.0,5922873154.266901,711639980775.2598,15689988.501378663,3078595614605595.0,4929485.836830164,154927882.4993627,51710213958.66977,5.02196889476197e+16,13758822700.39474,45582133995037.14,4617431761786599.0,2774193548387.0967,83225806451612.9,2003-05-23,spring,46604378964.404976
8178,94005913158023.22,0.0,0.0,5726886064.680354,636547286223.4332,45429168.24487314,3078648051093054.0,4929578.336442702,155581176.63288543,46604378964.404976,5.021967503814921e+16,13758818889.758821,44301736972704.805,4603827543424318.0,2774193548387.0967,83225806451612.9,2003-05-24,spring,38656351755.7131
8179,93475849277351.92,0.0,0.0,5894236787.780685,524406287792.7224,236643909.20365202,3078692516083252.5,4929662.299978345,155975226.5762304,38656351755.7131,5.021966112828857e+16,13758815078.94499,43874937965260.51,4603827543424318.0,2774193548387.0967,83225806451612.9,2003-05-25,spring,37410588373.72608
8180,92965119790073.53,0.0,0.0,6180913968.042132,504644810622.3857,96237312.04210922,3078736163826788.0,4929762.3389654895,157408268.4049296,37410588373.72608,5.021964721699878e+16,13758811268.024265,49423325062034.83,4618232009925561.0,2774193548387.0967,83225806451612.9,2003-05-26,spring,46834124363.76967
8181,92332551340526.89,0.0,0.0,6177295905.462335,628310462409.6788,1919308768.5001037,3078787409520694.5,4929861.070328954,158512266.55736876,46834124363.76967,5.021963330460893e+16,13758807456.711998,51728039702233.13,4612950372208435.0,2774193548387.0967,83225806451612.9,2003-05-27,spring,54373998066.18875
8182,91602394599290.56,0.0,0.0,6185503120.330254,724499278025.9955,528039909.9987116,3078847594540599.0,4929943.128075369,158488571.1728559,54373998066.18875,5.021961939224666e+16,13758803645.098337,54715632754342.37,4609749379652607.0,2774193548387.0967,83225806451612.9,2003-05-28,spring,56441931469.0734
8183,90850348183321.98,0.0,0.0,6084264810.15795,746106025481.6572,143874323.23460302,3078910131900905.0,4930039.500018548,159968389.46430725,56441931469.0734,5.021960547840847e+16,13758799833.492235,46606451612903.23,4629435483870968.0,2774193548387.0967,83225806451612.9,2003-05-29,spring,49214730563.29251
8184,90199043675927.86,0.0,0.0,6200603345.090471,645228528536.0483,124624487.02079049,3078965579156290.5,4930139.638673376,161476103.37254262,49214730563.29251,5.021959156306648e+16,13758796021.481773,45615668202764.99,4617546082949312.0,2774193548387.0967,83225806451612.9,2003-05-30,spring,52614726874.474525
8185,89507924138870.83,0.0,0.0,6315489186.480879,684858904380.1285,54856509.581823416,3079024608991467.0,4930228.4242175855,159405853.52575862,52614726874.474525,5.021957764979865e+16,13758792209.059309,44624884792626.64,4605656682027648.0,2774193548387.0967,83225806451612.9,2003-05-31,spring,53786986835.80292
8186,35101845071260.77,-53704754483322.49,0.0,6631674166.887853,694753197432.6527,60287311.979315095,3132789874306143.5,4930351.789608745,157388015.05459264,53786986835.80292,5.0219563738552584e+16,13758788397.205109,18087741935483.87,4718689216589863.0,1109677419354.8386,84890322580645.16,2003-06-01,spring,51805532806.11058
8187,34414511516079.723,0.0,0.0,31289706063.819206,656051528706.7014,7679589.474735797,3132873112416151.5,4869894.865128874,155420622.53301504,51805532806.11058,5.021954982921727e+16,13758784585.90482,16962211981566.836,4676547235023040.0,1109677419354.8386,84890322580645.16,2003-06-02,spring,66569406139.811584
8188,33553095481692.258,0.0,0.0,34943325828.56553,826510079478.683,37370919.78350465,3132974736361678.5,4918242.320014566,153502721.1543099,66569406139.811584,5.021953592185202e+16,13758780775.128021,16486635944700.508,4670483640552995.0,1109677419354.8386,84890322580645.16,2003-06-03,spring,79110452943.53659
8189,32557966341660.38,0.0,0.0,37530542411.24568,957631285454.9447,32687834.312227376,3133091491429712.0,4870182.231601291,151630695.4265592,79110452943.53659,5.0219522016314536e+16,13758776964.890963,16011059907834.068,4664420046082947.0,1109677419354.8386,84890322580645.16,2003-06-04,spring,81361353571.78712
8190,31561883618501.46,0.0,0.0,40468497627.04332,955668556596.0089,54331064.13399049,3133213411835040.5,4918585.149381654,149803778.7420421,81361353571.78712,5.021950811265619e+16,13758773155.154669,15535483870967.74,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-05,spring,82695367818.75378
8191,30575650294945.812,0.0,0.0,44649811906.57488,941620618044.9392,37106395.86518033,3133340863009896.0,4918834.101551464,148020360.06421214,82695367818.75378,5.021949421078532e+16,13758769345.933203,15059907834101.412,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-06,spring,86207408737.39925
8192,29576459038841.16,0.0,0.0,48262620238.41124,950937897787.407,9261921.164439054,3133475466687826.0,4919034.187247125,147829908.80419847,86207408737.39925,5.0219480309108904e+16,13758765537.201458,14584331797234.977,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-07,spring,75766811652.81793
8193,28717548572022.996,0.0,0.0,50459941309.75035,808457235466.7052,6709958.291720111,3133601829450655.5,4919245.501662765,147639070.49377403,75766811652.81793,5.021946640762735e+16,13758761728.52299,14108755760368.646,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-08,spring,74329088701.36684
8194,27893830653739.777,0.0,0.0,53768100872.77219,770083883791.1014,134066380.65799645,3133729935103129.5,4919443.878659564,147448724.1618648,74329088701.36684,5.021945250634014e+16,13758757919.897905,13633179723502.32,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-09,spring,74473775517.90675
8195,27084438986268.188,0.0,0.0,59959823246.80434,749451258797.2693,19414572.48525311,3133864491626545.0,4919644.991820132,147258867.90845016,74473775517.90675,5.021943860524682e+16,13758754111.326067,13221013824884.828,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-10,spring,84801320852.48558
8196,26191882057472.445,0.0,0.0,63996638465.334435,828617923594.2999,57633263.89390282,3134013374102243.0,4919856.232207865,147069499.84328064,84801320852.48558,5.021942470434687e+16,13758750302.807346,12824700460829.482,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-11,spring,94131237548.1229
8197,25233495152408.668,0.0,0.0,68921714748.52798,889472113913.1036,6923597.856421449,3134176562092343.5,4920089.962918904,146881492.24145406,94131237548.1229,5.021941080363897e+16,13758746494.341608,12428387096774.191,4658356451612903.0,1109677419354.8386,84890322580645.16,2003-06-12,spring,97078100647.85297
8198,24277038117287.73,0.0,0.0,72710823181.45363,883752270630.3726,6058690.8869753005,3134346486730172.5,4920403.721705582,146693093.7995544,97078100647.85297,5.021939690312358e+16,13758742685.928484,12983225806451.611,4692312580645161.0,1109677419354.8386,84890322580645.16,2003-06-13,spring,111249513390.6446
8199,23222320435639.586,0.0,0.0,80357852933.37222,974373989946.0236,14161231.248134889,3134538223251225.0,4920670.489644088,148236629.77715346,111249513390.6446,5.0219383001068744e+16,13758738877.568106,13538064516129.03,4724146451612903.0,1109677419354.8386,84890322580645.16,2003-06-14,spring,96123401459.63618
